split,seed,target_prev,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,train_prev_effective,test_prev
S1,1001,-1.0,extratrees,0.9505780670022306,0.010589115811527005,0.5415169209432362,0.07632072558728752,0.01786415099601115,0.0014865937861272681,0.02542433005992011,0.02542432108626198
S1,1001,-1.0,lr_l2,0.9161212181425293,0.01620932455617316,0.46805578773366047,0.05389757867737966,0.017744577119730476,0.000989431569796413,0.02542433005992011,0.02542432108626198
S1,1001,-1.0,rf,0.9540593694597608,0.011552296228500868,0.5724774768990859,0.04867856095821081,0.016658234987268795,0.0008270560620623221,0.02542433005992011,0.02542432108626198
S1,1001,-1.0,svm_linear_cal,0.9088016151722424,0.014768942724538159,0.471996912935632,0.07188712393284336,0.017692510443626467,0.0013073951701635907,0.02542433005992011,0.02542432108626198
S1,1001,-1.0,xgb,0.962313061884726,0.009556989017031461,0.5913195439228455,0.0424493311152906,0.015457155396678673,0.0010373252563233143,0.02542433005992011,0.02542432108626198
S1,1002,-1.0,extratrees,0.9477173553242805,0.007744813168935809,0.5356893035313661,0.062090922436110196,0.017982221579615057,0.0006952843812401863,0.02542433005992011,0.02542432108626198
S1,1002,-1.0,lr_l2,0.9156099274024546,0.018181259307080106,0.47532044530540496,0.055696255736106134,0.017635334387876754,0.0013210831858585738,0.02542433005992011,0.02542432108626198
S1,1002,-1.0,rf,0.9530430564773056,0.009599044922440826,0.5733528478806857,0.07951414027905204,0.016692694753565617,0.0011047296488195884,0.02542433005992011,0.02542432108626198
S1,1002,-1.0,svm_linear_cal,0.9072895992684524,0.02365006166110477,0.48189113691425867,0.06826697247085478,0.01758940474259133,0.001315752926384094,0.02542433005992011,0.02542432108626198
S1,1002,-1.0,xgb,0.9584969325772527,0.006617045400264918,0.5790484732174256,0.07988216757621239,0.01580988800445928,0.0017939180729769062,0.02542433005992011,0.02542432108626198
S1,1003,-1.0,extratrees,0.9516153998178798,0.01083920992611427,0.5302714607982091,0.045531764557865874,0.01807916688252203,0.000685800440534145,0.02542433005992011,0.02542432108626198
S1,1003,-1.0,lr_l2,0.9200585115102264,0.0023240222408565728,0.4678531988768597,0.043319011166347024,0.01780312102561678,0.0010942127184456888,0.02542433005992011,0.02542432108626198
