split,seed,target_prev,winner_model,winner_auc,winner_ap,winner_brier
S1,1011,0.1,xgb,0.9605705366793028,0.5525178589745522,0.020165099060839676
S1,1012,0.1,xgb,0.961706981534366,0.5577842561105179,0.020606643650851943
S1,1013,0.1,xgb,0.9541695706364213,0.5170624190524751,0.022770253901918815
S1,1014,0.1,xgb,0.9556018275848832,0.5452974398576647,0.02113312885487619
S1,1015,0.1,xgb,0.9579432500867856,0.5684151350114908,0.02016311989549312
S1,1016,0.1,xgb,0.9534569257057945,0.5342421530853919,0.021333978511174197
S1,1017,0.1,xgb,0.9609890455787108,0.5512240930613199,0.02067860685576121
S1,1018,0.1,xgb,0.9584543555055474,0.5246526975354318,0.02122108009609957
S1,1019,0.1,xgb,0.961038133745079,0.565737697942416,0.01984247883720088
S1,1020,0.1,xgb,0.9587649151842852,0.5416361338603248,0.020969772318381395
S1,1001,0.2,xgb,0.9554021695110422,0.5211338550969284,0.032109210310695954
S1,1002,0.2,xgb,0.9557299932576887,0.5279919402085995,0.033684975908886486
S1,1003,0.2,xgb,0.955813746393997,0.530120226961658,0.033275280670025165
S1,1004,0.2,xgb,0.9563559662478213,0.5261901976621949,0.033683513021974094
S1,1005,0.2,xgb,0.9551985811907491,0.5111156953841862,0.03390541679513408
S1,1006,0.2,xgb,0.9552176227829454,0.5146599012733208,0.03250878671169964
S1,1007,0.2,xgb,0.9568616857032725,0.5116244968910644,0.03463506020040562
S1,1008,0.2,rf,0.9521355197895967,0.5325009594782977,0.034954895998853236
S1,1009,0.2,xgb,0.9548126999942067,0.5230601709318281,0.03279422001121203
S1,1010,0.2,xgb,0.9540514701563282,0.5081135185398231,0.03393806250857793
S1,1011,0.2,xgb,0.9562806151806195,0.5279137679249616,0.03343452507690055
S1,1012,0.2,xgb,0.9565867677087974,0.5350799357563787,0.03221827802736214
S1,1013,0.2,xgb,0.9540195155761652,0.49142181229321774,0.0351394636191141
S1,1014,0.2,rf,0.9534567161304983,0.5420883333370072,0.033590475632475345
S1,1015,0.2,xgb,0.9515057942,0.48938979216181944,0.03401075699159033
S1,1016,0.2,rf,0.9517499500849439,0.527191133634379,0.0349903181773433
S1,1017,0.2,xgb,0.9585172473542418,0.521318375637311,0.03348754737575621
S1,1018,0.2,xgb,0.9567266580256728,0.5324680361367091,0.03424315416422254
S1,1019,0.2,xgb,0.9597417302471634,0.5448556001266482,0.03490392297340504
S1,1020,0.2,rf,0.9537021774272058,0.5273709630958563,0.03537472482160235
S1,1001,0.3,rf,0.9532464512383978,0.5295756632006408,0.051658683278303384
S1,1002,0.3,rf,0.9523952742918734,0.5136072687581648,0.05357606461542713
S1,1003,0.3,xgb,0.9553241017224204,0.5030198740998625,0.047813655408451436
S1,1004,0.3,xgb,0.9534925107948327,0.5086717316242724,0.050397840611820566
S1,1005,0.3,xgb,0.9611554799442106,0.5071980329897634,0.04939202086849014
S1,1006,0.3,rf,0.9527154278896515,0.5210076525122151,0.05184220358507222
S1,1007,0.3,xgb,0.9549618463260886,0.5103345427323142,0.050020533302559386
S1,1008,0.3,xgb,0.9558030009054903,0.4903849004437351,0.04949083880448742
S1,1009,0.3,rf,0.9518574916678075,0.5261088562702099,0.05150401850409383
S1,1010,0.3,xgb,0.9551083324486693,0.49570720984027206,0.05201594509392891
S1,1011,0.3,xgb,0.9548514932990797,0.4954393767728972,0.05125834798026596
S1,1012,0.3,rf,0.9564028105818162,0.5234639210534147,0.052653013258850176
S1,1013,0.3,xgb,0.9541320078829336,0.48202288200156695,0.05159506764607659
S1,1014,0.3,xgb,0.9552270891861294,0.4951828302313966,0.04858012081256706
S1,1015,0.3,xgb,0.950964000316659,0.4649046665747892,0.05356886026846226
S1,1016,0.3,xgb,0.9546550219062164,0.4962846945206162,0.04910303786637834
S1,1017,0.3,xgb,0.9576210457223929,0.5029919299937313,0.04992186546741051
S1,1018,0.3,xgb,0.9543606818236574,0.4990544783905683,0.0508405403322358
S1,1019,0.3,xgb,0.9575625007879494,0.5124832512210161,0.04847429264120516
S1,1020,0.3,xgb,0.9542688712850314,0.502322111847535,0.04963350573995665
S1,1001,0.4,rf,0.9531921413314818,0.5052190298456223,0.0734072421014553
S1,1002,0.4,rf,0.9522082203111735,0.492984399018708,0.07466855527377224
S1,1003,0.4,rf,0.9501954172626513,0.5037031836541279,0.07237591130685853
S1,1004,0.4,rf,0.9540947214570856,0.5050536885925749,0.0724375005125409
S1,1005,0.4,xgb,0.9611351214586297,0.4946023669873451,0.06395322506594177
S1,1006,0.4,xgb,0.9524912036082356,0.46833442050513374,0.07364079916595109
S1,1007,0.4,xgb,0.9556965880405247,0.4856076181422736,0.06864369248249796
S1,1008,0.4,rf,0.9535335276022598,0.5015011538786176,0.07439828060101535
S1,1009,0.4,rf,0.9522945870940175,0.49899944553203823,0.07504058983828281
S1,1010,0.4,xgb,0.9538150574886565,0.4833427882381301,0.07114178524002544
S1,1011,0.4,xgb,0.9560936870692369,0.4576099196918535,0.07179317317734937
S1,1012,0.4,xgb,0.954837891491754,0.46213602649087077,0.06953990179018481
S1,1013,0.4,rf,0.9558482019782266,0.4888653943549823,0.07499262855237024
S1,1014,0.4,rf,0.951327737140786,0.48293640982949154,0.07553188147951598
S1,1015,0.4,rf,0.9528238681320709,0.4951969703639175,0.07586820659064777
S1,1016,0.4,rf,0.9535515364095157,0.5021644072709476,0.07384277607251512
S1,1017,0.4,rf,0.9546944045758717,0.4904923481456943,0.07574672163784191
S1,1018,0.4,rf,0.9508642749986945,0.4938324743821186,0.07504791188027035
S1,1019,0.4,xgb,0.9586065342112358,0.46317277520241057,0.06739322436039398
S1,1020,0.4,rf,0.9519259688876021,0.48263131572076823,0.07662835236989654
S1,1001,0.5,rf,0.9536582636569035,0.49377912233778487,0.09748362985497054
S1,1002,0.5,rf,0.9504539849558963,0.4902451925655071,0.10292583940804816
S1,1003,0.5,rf,0.9522675249025015,0.48231366038587,0.10376454828409865
S1,1004,0.5,xgb,0.9520514342887928,0.4525028525089206,0.09255785699439874
S1,1005,0.5,xgb,0.9556061860456818,0.44301454639761245,0.09440907958173632
S1,1006,0.5,xgb,0.9501279630342679,0.45456463180847395,0.09225460005521757
S1,1007,0.5,rf,0.9536480173189574,0.48898970304909506,0.10359959144997122
S1,1008,0.5,rf,0.953355850657165,0.4530776466030552,0.10399066860127962
S1,1009,0.5,xgb,0.951742433973152,0.4689723259902718,0.09180658948619078
S1,1010,0.5,rf,0.952646325738279,0.48526841096588463,0.10221646496713184
S1,1011,0.5,rf,0.9548529085069296,0.49164678546371354,0.09833331943479093
S1,1012,0.5,xgb,0.9548528832063294,0.4422263110867009,0.09669521788348799
S1,1013,0.5,rf,0.9526377421863208,0.46405162781543136,0.10721112511579485
S1,1014,0.5,xgb,0.9542259159924666,0.4635341262796264,0.09081697759916016
S1,1015,0.5,rf,0.9511811488081433,0.48119915796253193,0.10348834059042782
S1,1016,0.5,rf,0.949000461463522,0.4696366075586578,0.10335330614965046
S1,1017,0.5,xgb,0.9549294535276871,0.4813851523290945,0.09451957551911473
S1,1018,0.5,rf,0.951350533262065,0.492376665326265,0.10275088625536344
S1,1019,0.5,xgb,0.9542217041047818,0.45969732745389214,0.09372430634873376
S1,1020,0.5,rf,0.9517476120700344,0.4622852733580999,0.10346584872169992
S2,1001,-1.0,xgb,0.9611472127970438,0.5624686498811928,0.015886714826511873
S2,1002,-1.0,xgb,0.9587926656857924,0.5769799546749714,0.015757054416857635
S2,1003,-1.0,xgb,0.9605882866283754,0.5725217936668768,0.015771252598447506
S2,1004,-1.0,xgb,0.9593947012475189,0.5640966209171807,0.015925687076247367
S2,1005,-1.0,xgb,0.9625237148132693,0.5840587247273941,0.015607441037151826
S2,1006,-1.0,xgb,0.9587576058809031,0.5705576275866131,0.015789939659667733
S2,1007,-1.0,xgb,0.9612858121793122,0.5718096642227016,0.015698331881438835
S2,1008,-1.0,xgb,0.9581951835861352,0.5686200781839285,0.01577672043106907
S2,1009,-1.0,xgb,0.9613208513724067,0.581952314360854,0.015465782121028842
S2,1010,-1.0,xgb,0.9605677651824915,0.5649398253163898,0.015857739311936132
S2,1011,-1.0,xgb,0.9604659751618883,0.5717791278175361,0.015669450400018246
S2,1012,-1.0,xgb,0.958055775240626,0.5731222083517168,0.01576069941560538
S2,1013,-1.0,xgb,0.9627400322365158,0.5667918994398754,0.015799560062218478
S2,1014,-1.0,xgb,0.9580631477855872,0.5750695444506243,0.015923062101117224
S2,1015,-1.0,xgb,0.961150259750853,0.5698419675879285,0.015792352330366258
S2,1016,-1.0,xgb,0.9614154514233574,0.5655148877795275,0.01588832779457175
S2,1017,-1.0,xgb,0.9633091049387803,0.571843181481731,0.015794952639466994
S2,1018,-1.0,xgb,0.9604880992436181,0.5695534940586986,0.01564927072803627
S2,1019,-1.0,xgb,0.9632858173067129,0.5637653073443916,0.015739158683488866
S2,1020,-1.0,xgb,0.9603665778497733,0.5674129303885811,0.015650319840085032
S2,1001,0.1,xgb,0.9567521130175018,0.5291228081924867,0.022091209018212946
S2,1002,0.1,xgb,0.9607677557634513,0.540076538940374,0.02181920849863144
S2,1003,0.1,xgb,0.9603581711610456,0.5444260012504076,0.021116796704651126
S2,1004,0.1,xgb,0.9600097980934432,0.5372581072330004,0.021636093195086147
S2,1005,0.1,xgb,0.9581818197561411,0.5468203111921432,0.021179532940246052
S2,1006,0.1,xgb,0.9593800913724596,0.5330935616889638,0.021609976294163023
S2,1007,0.1,xgb,0.960328988770485,0.5628787965415747,0.02064659138613855
S2,1008,0.1,xgb,0.9570115010745095,0.5495169289520416,0.021311008153642126
S2,1009,0.1,xgb,0.9589715117866661,0.5532729739676587,0.021083171563708567
S2,1010,0.1,xgb,0.95766677725767,0.5309614849216925,0.022010473774943456
S2,1011,0.1,xgb,0.956488861794686,0.5348913224438416,0.02106638803317026
S2,1012,0.1,xgb,0.9567405746135107,0.5548919962366622,0.021178621782444618
S2,1013,0.1,xgb,0.9567119410796854,0.5307620760512575,0.02165762798027595
S2,1014,0.1,xgb,0.9580337785482413,0.5259179883282548,0.02198912364307492
S2,1015,0.1,xgb,0.9606803978735161,0.5428011316851231,0.020876562233744775
S2,1016,0.1,xgb,0.958306765236275,0.5358943280844851,0.021711434158943024
S2,1017,0.1,xgb,0.9583197318768344,0.550539572494688,0.020791869646777573
S2,1018,0.1,xgb,0.9576759624680926,0.5424848955327737,0.020998828335300698
S2,1019,0.1,xgb,0.9596745326512789,0.5343421471722413,0.020717772003064565
S2,1020,0.1,xgb,0.9619664589730622,0.560244126750904,0.021418906282126855
S2,1001,0.2,xgb,0.9567816019387292,0.5336597322513512,0.03524411964360443
S2,1002,0.2,rf,0.9532622480743888,0.5183187642703654,0.03694841017456264
S2,1003,0.2,xgb,0.9581643340729242,0.5186417611471879,0.034514315169113394
S2,1004,0.2,xgb,0.9590939049751354,0.4993639648186486,0.03264044761331882
S2,1005,0.2,xgb,0.9555571559063416,0.5031168786004432,0.0351161139382684
S2,1006,0.2,xgb,0.9589909551186372,0.518818395444479,0.034879842940690735
S2,1007,0.2,xgb,0.9595236985579694,0.5565604811370217,0.03256413021261238
S2,1008,0.2,xgb,0.9562478125482377,0.5181066351402629,0.0351300787158415
S2,1009,0.2,xgb,0.9571051028129836,0.523099627684083,0.03555922495011896
S2,1010,0.2,xgb,0.958274797647994,0.5021076682621125,0.03651552679284424
S2,1011,0.2,xgb,0.9566303757338768,0.5343364608224025,0.03483996565306199
S2,1012,0.2,xgb,0.9571773548363097,0.5167823959141551,0.035484344355956494
S2,1013,0.2,xgb,0.9576136678186884,0.5181126789421624,0.03409688279503169
S2,1014,0.2,xgb,0.9582857417576556,0.5101249076817609,0.034036476933625326
S2,1015,0.2,xgb,0.9571747497836111,0.5298543955591895,0.034776691747173474
S2,1016,0.2,xgb,0.9561472914088023,0.5004371380907383,0.034846484692582926
S2,1017,0.2,xgb,0.9576371874698818,0.5262146542364999,0.03390031072453941
S2,1018,0.2,xgb,0.9576059271425631,0.5168520402879875,0.03503106465520981
S2,1019,0.2,xgb,0.959214956811903,0.49873556080624437,0.034408129123590946
S2,1020,0.2,xgb,0.9571579324297705,0.514808661142502,0.03294882666146737
S2,1001,0.3,rf,0.9567933532310887,0.5234943725491189,0.052059734567859214
S2,1002,0.3,xgb,0.9552639790881656,0.49649842661980603,0.05105506617388322
S2,1003,0.3,xgb,0.9547184485335883,0.49503049461777027,0.05338584606031789
S2,1004,0.3,xgb,0.9576687102835573,0.5112450451112937,0.048108681660233445
S2,1005,0.3,xgb,0.9544365690845273,0.5015105926302859,0.04995502768461743
S2,1006,0.3,xgb,0.9571414860544097,0.47998142233307844,0.05086871787845767
S2,1007,0.3,xgb,0.9549934574736149,0.5080748514637776,0.05086265710553327
S2,1008,0.3,xgb,0.9545393079424374,0.5023769146713762,0.05157721210064239
S2,1009,0.3,xgb,0.9537363917677018,0.4742589032173078,0.05085136136870196
S2,1010,0.3,xgb,0.9518693764309756,0.4704136084761534,0.054317290724258116
S2,1011,0.3,rf,0.952677665887936,0.5090219076052855,0.05153316563456608
S2,1012,0.3,xgb,0.9563004858861348,0.5187506431333606,0.05167760698291914
S2,1013,0.3,xgb,0.9570950251488597,0.5102110965039528,0.053350754433398984
S2,1014,0.3,rf,0.9550031508111028,0.5149607130668219,0.05294055848171173
S2,1015,0.3,xgb,0.956310046053483,0.5057073263325228,0.05206298407496783
S2,1016,0.3,rf,0.9554736437668119,0.5073063778457885,0.05140695801077143
S2,1017,0.3,xgb,0.9584822026955951,0.5098895040636255,0.04881108497359778
S2,1018,0.3,xgb,0.9560390059914733,0.49835311742698385,0.05248739917328897
S2,1019,0.3,xgb,0.9551070520173862,0.48329795210217447,0.05150469111372215
S2,1020,0.3,xgb,0.9569878235057432,0.5020197605930403,0.05070007024977543
S2,1001,0.4,rf,0.9546660170247738,0.4961703466906572,0.0737335259023105
S2,1002,0.4,rf,0.9545309889452099,0.49446403340450473,0.073385001677941
S2,1003,0.4,xgb,0.9531444489452457,0.4691619263754448,0.06896104055112295
S2,1004,0.4,xgb,0.9560504309113199,0.48116800329811305,0.07010778022046422
S2,1005,0.4,xgb,0.9555148518757266,0.4699770690219728,0.06920706119610792
S2,1006,0.4,xgb,0.9566403008906466,0.46716395198252203,0.07112674730239103
S2,1007,0.4,xgb,0.955050025244865,0.4753113182513182,0.06679108301858731
S2,1008,0.4,xgb,0.9537041962458049,0.4760507461763007,0.07174362775628747
S2,1009,0.4,rf,0.9514981872732123,0.47567198667665045,0.07887668566351827
S2,1010,0.4,rf,0.9513402423556716,0.46792911780122043,0.07936615648736996
S2,1011,0.4,xgb,0.9540307392425259,0.46361218046998703,0.07190060664157369
S2,1012,0.4,rf,0.9544023288113024,0.5008830657158434,0.07567002421107712
