split,seed,target_prev,fold,model,train_prev_effective,test_prev,auroc,ap,brier,best_params
S1,1001,-1.0,1,lr_l2,0.025390625,0.025559105431309903,0.8987856709168185,0.38017183854251546,0.019453194549123358,"{""clf__C"": 1.0}"
S1,1001,-1.0,1,svm_linear_cal,0.025390625,0.025559105431309903,0.8904371584699454,0.35223586401718127,0.019924726932441326,"{""clf__C"": 0.1}"
S1,1001,-1.0,1,rf,0.025390625,0.025559105431309903,0.9396402550091074,0.49172510712289275,0.018090516901352896,"{""clf__max_depth"": null}"
S1,1001,-1.0,1,xgb,0.025390625,0.025559105431309903,0.9526209269378668,0.5382397259748986,0.01680067455502345,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1001,-1.0,1,extratrees,0.025390625,0.025559105431309903,0.9401436956081766,0.41704090386609144,0.020074768198774563,"{""clf__max_depth"": 12}"
S1,1001,-1.0,2,lr_l2,0.025477141588992454,0.02521306818181818,0.9279817337540727,0.5146026320522781,0.016968155405804385,"{""clf__C"": 1.0}"
S1,1001,-1.0,2,svm_linear_cal,0.025477141588992454,0.02521306818181818,0.9166730803766132,0.5217961034615287,0.01702499755481263,"{""clf__C"": 1.0}"
S1,1001,-1.0,2,rf,0.025477141588992454,0.02521306818181818,0.970271171656533,0.5660211462585637,0.016464906895451503,"{""clf__max_depth"": 12}"
S1,1001,-1.0,2,xgb,0.025477141588992454,0.02521306818181818,0.9694604787193104,0.5734275662223224,0.015812941610283147,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,-1.0,2,extratrees,0.025477141588992454,0.02521306818181818,0.9648656969137227,0.5747812978620854,0.01669691642992424,"{""clf__max_depth"": null}"
S1,1001,-1.0,3,lr_l2,0.025477141588992454,0.02521306818181818,0.8987660022063162,0.45560632437805915,0.017659366668949263,"{""clf__C"": 1.0}"
S1,1001,-1.0,3,svm_linear_cal,0.025477141588992454,0.02521306818181818,0.8954103491623695,0.4621950133303091,0.017728688087971536,"{""clf__C"": 0.1}"
S1,1001,-1.0,3,rf,0.025477141588992454,0.02521306818181818,0.9476718232894636,0.5866134198670077,0.01652822660195707,"{""clf__max_depth"": null}"
S1,1001,-1.0,3,xgb,0.025477141588992454,0.02521306818181818,0.9511993637599733,0.5798494156064469,0.01569502029943322,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 4}"
S1,1001,-1.0,3,extratrees,0.025477141588992454,0.02521306818181818,0.9502963133995228,0.5883682382629893,0.017219115964330806,"{""clf__max_depth"": null}"
S1,1001,-1.0,4,lr_l2,0.025388371060807814,0.02556818181818182,0.9226392938127632,0.5029525744860048,0.01720330866826821,"{""clf__C"": 1.0}"
S1,1001,-1.0,4,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.9186558551992225,0.5287779095656339,0.016641026585138545,"{""clf__C"": 0.1}"
S1,1001,-1.0,4,rf,0.025388371060807814,0.02556818181818182,0.9587787495950761,0.6138170282135932,0.016191789296898816,"{""clf__max_depth"": 12}"
S1,1001,-1.0,4,xgb,0.025388371060807814,0.02556818181818182,0.9704709264658244,0.6489766497962579,0.014019713595497614,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,-1.0,4,extratrees,0.025388371060807814,0.02556818181818182,0.9407596371882087,0.5217468144150602,0.018688492897127155,"{""clf__max_depth"": 12}"
S1,1001,-1.0,5,lr_l2,0.025388371060807814,0.02556818181818182,0.9324333900226758,0.4869455692094448,0.017438860306507164,"{""clf__C"": 1.0}"
S1,1001,-1.0,5,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.9228316326530612,0.49497967430350737,0.01714311305776829,"{""clf__C"": 0.1}"
