split,seed,winner_model,winner_auroc,winner_ap,winner_brier,winner_ece
S1,1001,xgb,0.8594185953853859,0.38931946582796995,0.030242912720129578,0.014317447769425368
S1,1002,xgb,0.8638166188552582,0.3659164549182327,0.030858714506324075,0.02200698360382889
S1,1003,xgb,0.8377786017385572,0.3584095781817086,0.0313160307514345,0.02270455561796077
S1,1004,extratrees,0.8374484292705562,0.3189671728510688,0.03337004236117145,0.013272586882676999
S1,1005,extratrees,0.8287974942919032,0.3565947628575624,0.032316284209059846,0.014954003023744783
S1,1006,extratrees,0.833878219409914,0.33212673821543154,0.033597826097051774,0.013060934086331346
S1,1007,xgb,0.8296863745075207,0.3200415532764974,0.03194745872983453,0.01897205643629484
S1,1008,xgb,0.841023207505849,0.3025028368500872,0.032535026615088586,0.02133812493171077
S1,1009,extratrees,0.8517898054368402,0.36275018580976914,0.03269471873407347,0.01616944424127211
S1,1010,extratrees,0.8280034075114866,0.3492131998056493,0.03262413604212239,0.014805116326640635
S1,1011,xgb,0.8410670725757665,0.3761569325437114,0.031423684048063616,0.02521453539847871
S1,1012,extratrees,0.8392732625269141,0.378966053140516,0.03186475256313864,0.011352289025636736
S1,1013,xgb,0.8485840857396241,0.36273011921730725,0.030922517225729695,0.01956473148904076
S1,1014,extratrees,0.8307736856199328,0.3253738689076509,0.03312020590544252,0.0124059095695463
S1,1015,xgb,0.8337880539781043,0.32560627315421775,0.031860225278770665,0.020136238773423965
S1,1016,extratrees,0.8299904621118982,0.3211746311485231,0.03289709625698766,0.013502562077429597
S1,1017,xgb,0.853269056261343,0.347824319860187,0.031401820129251586,0.01913167212860299
S1,1018,extratrees,0.8455814534017655,0.3198514344748985,0.03280933887038759,0.016401933966331512
S1,1019,extratrees,0.8515881410360656,0.347934011603199,0.03209799426562391,0.014295884487378906
S1,1020,xgb,0.8454357966508163,0.373465614073463,0.030686441560237566,0.01700584722895133
S2,1001,extratrees,0.8338721036462446,0.32943531982355634,0.0336907846541247,0.017866275023559607
S2,1002,xgb,0.8359456238201887,0.3289072897650622,0.03226842516401931,0.024262173427418904
S2,1003,xgb,0.8264220908991888,0.33408697724270764,0.032281888779246176,0.0217808124058953
S2,1004,xgb,0.8302168201695265,0.3333217781881363,0.032140526506153025,0.022574594559188248
S2,1005,extratrees,0.8226573310671279,0.3570123413760379,0.033370080951604264,0.0163159152648746
S2,1006,extratrees,0.8283634218068526,0.33911142261379107,0.033713064561402294,0.01794576627263553
S2,1007,xgb,0.8197483328593502,0.3033647520390655,0.032762622627335855,0.02173988718587908
S2,1008,extratrees,0.8294227803266419,0.3233623034622938,0.03351376420272487,0.018021988456886334
S2,1009,xgb,0.8345889624455335,0.3380630052191521,0.03220168469146937,0.02156680912177039
S2,1010,extratrees,0.8350451416363847,0.36249312517225535,0.03378279341420448,0.017326025630050156
S2,1011,xgb,0.822397407611651,0.31406090724477453,0.03208726627404389,0.022832584953980342
S2,1012,extratrees,0.8410886675025926,0.3801187414490655,0.03327709266562859,0.019219155750639906
S2,1013,xgb,0.8349225204061197,0.3306462207238103,0.031934566430846786,0.02267720469976802
S2,1014,extratrees,0.8352395421134023,0.3672507094214237,0.033129944247224284,0.020251689930729254
S2,1015,extratrees,0.8291242856775638,0.35203625657587134,0.032927863047967555,0.017398376110922282
S2,1016,extratrees,0.8294770534939866,0.33741106884771704,0.03389413892765396,0.014015480426614818
S2,1017,rf,0.8280647615082415,0.3523772038683427,0.03225228618313748,0.02295536859089451
S2,1018,xgb,0.8384090623810183,0.34314975568450073,0.03194591457330966,0.0233503556846255
S2,1019,xgb,0.8251672556971206,0.3408464743009372,0.03169423353150459,0.02238460194092179
S2,1020,extratrees,0.8419606297520399,0.30588707566464096,0.033566903179307626,0.019299778772716554
