split,seed,miss_rate,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S1,1010,0.05,xgb,xgb,1,0.9539749749109048,0.5473430775244919,0.0164962125996564
S1,1011,0.05,xgb,xgb,1,0.9559572740188618,0.5633868504061127,0.0161384216930253
S1,1012,0.05,xgb,xgb,1,0.9595246670224936,0.576314048363456,0.0158729336439447
S1,1013,0.05,xgb,xgb,1,0.956225890200502,0.5508849385341202,0.0162853920045224
S1,1014,0.05,xgb,xgb,1,0.9548852964903738,0.5491853915173719,0.0164147768525072
S1,1015,0.05,xgb,xgb,1,0.9554183835858622,0.5641433438416193,0.0161376819942699
S1,1016,0.05,xgb,xgb,1,0.954354879763902,0.539292765805426,0.0166120359147398
S1,1017,0.05,xgb,xgb,1,0.9592034445094167,0.575920830564413,0.015915464708523
S1,1018,0.05,xgb,xgb,1,0.9565290535492466,0.5388443809721234,0.0164871416898224
S1,1019,0.05,xgb,xgb,1,0.9576739620861692,0.5559148941630856,0.0163498430974539
S1,1020,0.05,xgb,xgb,1,0.956737489591278,0.5586978620641784,0.0162202228145824
S1,1001,0.1,xgb,xgb,1,0.9566365739322744,0.5492995872472163,0.0163682156784973
S1,1002,0.1,xgb,xgb,1,0.9547271843030892,0.5378790105630623,0.016779985632393
S1,1003,0.1,xgb,xgb,1,0.955631484313736,0.558312164205937,0.0160670305452988
S1,1004,0.1,xgb,xgb,1,0.9566590544037638,0.5463583572166933,0.0164275383836168
S1,1005,0.1,xgb,xgb,1,0.955403107072024,0.5571095424518697,0.0162034317975132
S1,1006,0.1,xgb,xgb,1,0.9555187284880492,0.5369992045920939,0.016831228134286
S1,1007,0.1,xgb,xgb,1,0.956045721244974,0.5547217508883298,0.0164548406253547
S1,1008,0.1,xgb,xgb,1,0.9523155958974796,0.5261833955930653,0.0170058753031929
S1,1009,0.1,xgb,xgb,1,0.9563331623872908,0.5509853434289337,0.0163534305474592
