split,target_prev,baseline_seed,baseline_severity,baseline_winner_det,det_flip_pct,tie_flip_pct,kendall_tau_mean,spearman_rho_mean,flip_thr,tau_thr,stable_det,stable_tie
S1,0.5,1001,-1.0,xgb,60.0,55.00000000000001,0.7999999999999999,0.8999999999999999,10.0,0.9,False,False
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.7,True,True
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.8,True,True
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.9,False,False
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.7,True,True
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.8,True,True
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.9,False,False
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.7,True,True
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.8,True,True
S2,-1.0,1001,-1.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.9,False,False
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,0.0,0.7,True,True
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,0.0,0.8,True,True
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,0.0,0.9,True,True
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,5.0,0.7,True,True
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,5.0,0.8,True,True
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,5.0,0.9,True,True
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,10.0,0.7,True,True
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,10.0,0.8,True,True
S2,0.1,1001,-1.0,xgb,0.0,0.0,0.9052631578947368,0.9526315789473683,10.0,0.9,True,True
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,0.0,0.7,False,False
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,0.0,0.8,False,False
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,0.0,0.9,False,False
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,5.0,0.7,True,True
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,5.0,0.8,True,True
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,5.0,0.9,True,True
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,10.0,0.7,True,True
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,10.0,0.8,True,True
S2,0.2,1001,-1.0,xgb,5.0,5.0,0.9263157894736841,0.9631578947368418,10.0,0.9,True,True
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,0.0,0.7,False,False
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,0.0,0.8,False,False
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,0.0,0.9,False,False
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,5.0,0.7,False,False
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,5.0,0.8,False,False
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,5.0,0.9,False,False
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,10.0,0.7,False,False
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,10.0,0.8,False,False
S2,0.3,1001,-1.0,xgb,20.0,45.0,0.5578947368421052,0.694736842105263,10.0,0.9,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,0.0,0.7,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,0.0,0.8,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,0.0,0.9,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,5.0,0.7,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,5.0,0.8,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,5.0,0.9,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,10.0,0.7,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,10.0,0.8,False,False
S2,0.4,1001,-1.0,xgb,35.0,60.0,0.7789473684210526,0.8894736842105262,10.0,0.9,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,0.0,0.7,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,0.0,0.8,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,0.0,0.9,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,5.0,0.7,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,5.0,0.8,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,5.0,0.9,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,10.0,0.7,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,10.0,0.8,False,False
S2,0.5,1001,-1.0,xgb,40.0,60.0,0.8210526315789474,0.9105263157894735,10.0,0.9,False,False
