split,seed,target_prev,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S1,1020,0.4,rf,rf,1,0.951925968887602,0.4826313157207682,0.0766283523698965
S1,1001,0.5,rf,rf,1,0.9536582636569036,0.4937791223377848,0.0974836298549705
S1,1002,0.5,rf,rf,1,0.9504539849558964,0.4902451925655071,0.1029258394080481
S1,1003,0.5,rf,rf,1,0.9522675249025015,0.48231366038587,0.1037645482840986
S1,1004,0.5,xgb,xgb,1,0.9520514342887928,0.4525028525089206,0.0925578569943987
S1,1005,0.5,xgb,xgb,1,0.9556061860456818,0.4430145463976124,0.0944090795817363
S1,1006,0.5,xgb,xgb,1,0.950127963034268,0.4545646318084739,0.0922546000552175
S1,1007,0.5,rf,rf,1,0.9536480173189574,0.488989703049095,0.1035995914499712
S1,1008,0.5,rf,rf,1,0.953355850657165,0.4530776466030552,0.1039906686012796
S1,1009,0.5,xgb,xgb,1,0.951742433973152,0.4689723259902718,0.0918065894861907
S1,1010,0.5,rf,rf,1,0.952646325738279,0.4852684109658846,0.1022164649671318
S1,1011,0.5,rf,rf,1,0.9548529085069296,0.4916467854637135,0.0983333194347909
S1,1012,0.5,xgb,xgb,1,0.9548528832063294,0.4422263110867009,0.0966952178834879
S1,1013,0.5,rf,rf,1,0.9526377421863208,0.4640516278154313,0.1072111251157948
S1,1014,0.5,xgb,xgb,1,0.9542259159924666,0.4635341262796264,0.0908169775991601
S1,1015,0.5,rf,rf,1,0.9511811488081432,0.4811991579625319,0.1034883405904278
S1,1016,0.5,rf,rf,1,0.949000461463522,0.4696366075586578,0.1033533061496504
S1,1017,0.5,xgb,xgb,1,0.9549294535276872,0.4813851523290945,0.0945195755191147
S1,1018,0.5,rf,rf,1,0.951350533262065,0.492376665326265,0.1027508862553634
S1,1019,0.5,xgb,xgb,1,0.9542217041047818,0.4596973274538921,0.0937243063487337
S1,1020,0.5,rf,xgb,1,0.9517476120700344,0.4622852733580999,0.1034658487216999
S2,1001,-1.0,xgb,xgb,1,0.9611472127970438,0.5624686498811928,0.0158867148265118
S2,1002,-1.0,xgb,xgb,1,0.9587926656857924,0.5769799546749714,0.0157570544168576
S2,1003,-1.0,xgb,xgb,1,0.9605882866283754,0.5725217936668768,0.0157712525984475
S2,1004,-1.0,xgb,xgb,1,0.9593947012475188,0.5640966209171807,0.0159256870762473
S2,1005,-1.0,xgb,xgb,1,0.9625237148132691,0.5840587247273941,0.0156074410371518
S2,1006,-1.0,xgb,xgb,1,0.9587576058809032,0.5705576275866131,0.0157899396596677
S2,1007,-1.0,xgb,xgb,1,0.9612858121793122,0.5718096642227016,0.0156983318814388
S2,1008,-1.0,xgb,xgb,1,0.9581951835861352,0.5686200781839285,0.015776720431069
S2,1009,-1.0,xgb,xgb,1,0.9613208513724067,0.581952314360854,0.0154657821210288
S2,1010,-1.0,xgb,xgb,1,0.9605677651824917,0.5649398253163898,0.0158577393119361
S2,1011,-1.0,xgb,xgb,1,0.9604659751618884,0.5717791278175361,0.0156694504000182
S2,1012,-1.0,xgb,xgb,1,0.958055775240626,0.5731222083517168,0.0157606994156053
S2,1013,-1.0,xgb,xgb,1,0.9627400322365158,0.5667918994398754,0.0157995600622184
S2,1014,-1.0,xgb,xgb,1,0.9580631477855872,0.5750695444506243,0.0159230621011172
S2,1015,-1.0,xgb,xgb,1,0.961150259750853,0.5698419675879285,0.0157923523303662
S2,1016,-1.0,xgb,xgb,1,0.9614154514233574,0.5655148877795275,0.0158883277945717
S2,1017,-1.0,xgb,xgb,1,0.9633091049387804,0.571843181481731,0.0157949526394669
S2,1018,-1.0,xgb,xgb,1,0.960488099243618,0.5695534940586986,0.0156492707280362
S2,1019,-1.0,xgb,xgb,1,0.9632858173067128,0.5637653073443916,0.0157391586834888
S2,1020,-1.0,xgb,xgb,1,0.9603665778497732,0.5674129303885811,0.015650319840085
S2,1001,0.1,xgb,xgb,1,0.9567521130175018,0.5291228081924867,0.0220912090182129
S2,1002,0.1,xgb,xgb,1,0.9607677557634512,0.540076538940374,0.0218192084986314
S2,1003,0.1,xgb,xgb,1,0.9603581711610456,0.5444260012504076,0.0211167967046511
S2,1004,0.1,xgb,xgb,1,0.9600097980934432,0.5372581072330004,0.0216360931950861
S2,1005,0.1,xgb,xgb,1,0.9581818197561413,0.5468203111921432,0.021179532940246
S2,1006,0.1,xgb,xgb,1,0.9593800913724596,0.5330935616889638,0.021609976294163
S2,1007,0.1,xgb,xgb,1,0.960328988770485,0.5628787965415747,0.0206465913861385
S2,1008,0.1,xgb,xgb,1,0.9570115010745096,0.5495169289520416,0.0213110081536421
S2,1009,0.1,xgb,xgb,1,0.958971511786666,0.5532729739676587,0.0210831715637085
S2,1010,0.1,xgb,xgb,1,0.95766677725767,0.5309614849216925,0.0220104737749434
S2,1011,0.1,xgb,xgb,1,0.956488861794686,0.5348913224438416,0.0210663880331702
S2,1012,0.1,xgb,xgb,1,0.9567405746135108,0.5548919962366622,0.0211786217824446
S2,1013,0.1,xgb,xgb,1,0.9567119410796854,0.5307620760512575,0.0216576279802759
S2,1014,0.1,xgb,xgb,1,0.9580337785482412,0.5259179883282548,0.0219891236430749
S2,1015,0.1,xgb,xgb,1,0.960680397873516,0.5428011316851231,0.0208765622337447
S2,1016,0.1,xgb,xgb,1,0.958306765236275,0.5358943280844851,0.021711434158943
S2,1017,0.1,xgb,xgb,1,0.9583197318768344,0.550539572494688,0.0207918696467775
S2,1018,0.1,xgb,xgb,1,0.9576759624680926,0.5424848955327737,0.0209988283353006
S2,1019,0.1,xgb,xgb,1,0.9596745326512788,0.5343421471722413,0.0207177720030645
S2,1020,0.1,xgb,xgb,1,0.9619664589730622,0.560244126750904,0.0214189062821268
S2,1001,0.2,xgb,xgb,1,0.9567816019387292,0.5336597322513512,0.0352441196436044
S2,1002,0.2,rf,rf,1,0.9532622480743888,0.5183187642703654,0.0369484101745626
S2,1003,0.2,xgb,xgb,1,0.9581643340729242,0.5186417611471879,0.0345143151691133
S2,1004,0.2,xgb,xgb,1,0.9590939049751354,0.4993639648186486,0.0326404476133188
S2,1005,0.2,xgb,xgb,1,0.9555571559063416,0.5031168786004432,0.0351161139382684
S2,1006,0.2,xgb,xgb,1,0.9589909551186372,0.518818395444479,0.0348798429406907
S2,1007,0.2,xgb,xgb,1,0.9595236985579694,0.5565604811370217,0.0325641302126123
