split,seed,miss_rate,fold,model,auroc,ap,brier,best_params
S1,1001,0.05,4,svm_linear_cal,0.9122023809523808,0.5171563522762185,0.0168489716291613,"{""clf__C"": 0.1}"
S1,1001,0.05,4,xgb,0.965414439585358,0.6124788965630173,0.0149263284732868,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.05,5,extratrees,0.9514951814058956,0.5741221635316991,0.0178560415373077,"{""clf__max_depth"": 12}"
S1,1001,0.05,5,lr_l2,0.9300645853579528,0.4856486150211108,0.0175272684435573,"{""clf__C"": 1.0}"
S1,1001,0.05,5,rf,0.950412010042112,0.5960767867293001,0.016294829734011,"{""clf__max_depth"": 12}"
S1,1001,0.05,5,svm_linear_cal,0.922209062196307,0.4901920086760132,0.0173147077328071,"{""clf__C"": 0.1}"
S1,1001,0.05,5,xgb,0.9650500080984776,0.5980814016835792,0.0154511089995762,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.1,1,extratrees,0.9370977534911962,0.4013674432326685,0.0204907144086053,"{""clf__max_depth"": 12}"
S1,1001,0.1,1,lr_l2,0.8747419550698239,0.3203538403782924,0.0204314850936162,"{""clf__C"": 0.1}"
S1,1001,0.1,1,rf,0.9322303177494434,0.4341983132913712,0.0191619098331558,"{""clf__max_depth"": null}"
S1,1001,0.1,1,svm_linear_cal,0.8685336976320583,0.298599839139729,0.0208577554458518,"{""clf__C"": 0.1}"
S1,1001,0.1,1,xgb,0.9454918032786886,0.5180485504048892,0.017126486395544,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3}"
S1,1001,0.1,2,extratrees,0.954016265168424,0.5581681208493966,0.0171511304450757,"{""clf__max_depth"": null}"
S1,1001,0.1,2,lr_l2,0.9213884399291928,0.5180953642154841,0.0169327113730097,"{""clf__C"": 1.0}"
S1,1001,0.1,2,rf,0.9657456579183664,0.5871632285537663,0.0164372204200409,"{""clf__max_depth"": 12}"
S1,1001,0.1,2,svm_linear_cal,0.9065035018856308,0.5291879218539552,0.017104051586311,"{""clf__C"": 0.1}"
S1,1001,0.1,2,xgb,0.9672233766900128,0.5663670742587993,0.0159657605926613,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.1,3,extratrees,0.9494907514302572,0.5598412825390284,0.0186181010913223,"{""clf__max_depth"": 12}"
S1,1001,0.1,3,lr_l2,0.8858821416660253,0.4060437138538615,0.0185845013047376,"{""clf__C"": 1.0}"
S1,1001,0.1,3,rf,0.9448728802688626,0.5311810265915714,0.0175535297932278,"{""clf__max_depth"": 12}"
S1,1001,0.1,3,svm_linear_cal,0.8812386156648453,0.4144715649463757,0.0186620680831021,"{""clf__C"": 0.1}"
S1,1001,0.1,3,xgb,0.9440929731393828,0.5313315657533605,0.0165114250586554,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.1,4,extratrees,0.9294521379980564,0.4873146501962241,0.0193097105456178,"{""clf__max_depth"": 12}"
S1,1001,0.1,4,lr_l2,0.91055737771299,0.4891883849710814,0.0173658388159012,"{""clf__C"": 1.0}"
S1,1001,0.1,4,rf,0.9506499028182702,0.5807839573809507,0.0169319175836175,"{""clf__max_depth"": 12}"
S1,1001,0.1,4,svm_linear_cal,0.9078848801425332,0.5164811599357746,0.0170294878516112,"{""clf__C"": 0.1}"
S1,1001,0.1,4,xgb,0.9620535714285716,0.5854148031300613,0.0155050325792814,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.1,5,extratrees,0.9509282879818596,0.5535847132871635,0.0180878050773632,"{""clf__max_depth"": 12}"
S1,1001,0.1,5,lr_l2,0.9220875850340136,0.4560271364034733,0.0179338607098809,"{""clf__C"": 1.0}"
S1,1001,0.1,5,rf,0.9552204810495628,0.5651548521433174,0.0167293918379165,"{""clf__max_depth"": 12}"
S1,1001,0.1,5,svm_linear_cal,0.9113469792678976,0.4601923886796379,0.0178245533289364,"{""clf__C"": 0.1}"
S1,1001,0.1,5,xgb,0.9643211451247166,0.5453359426889708,0.0167323737663445,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.2,1,extratrees,0.9314814814814816,0.3529132172344257,0.021051267313986,"{""clf__max_depth"": 12}"
S1,1001,0.2,1,lr_l2,0.8879427241449098,0.3017690773395685,0.0208465126289016,"{""clf__C"": 1.0}"
S1,1001,0.2,1,rf,0.9264116575591984,0.4108431954254747,0.0193948191535518,"{""clf__max_depth"": null}"
S1,1001,0.2,1,svm_linear_cal,0.8693331309451529,0.2939090516165292,0.0211152490877873,"{""clf__C"": 0.1}"
S1,1001,0.2,1,xgb,0.9503390002023882,0.4415062092644091,0.0188126641039901,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1001,0.2,2,extratrees,0.950291182431566,0.5234286001130297,0.018454752215845,"{""clf__max_depth"": 12}"
S1,1001,0.2,2,lr_l2,0.9220041560840452,0.4866100677916735,0.0174196995132562,"{""clf__C"": 1.0}"
S1,1001,0.2,2,rf,0.9569511788398882,0.5294371304311929,0.0170781052714646,"{""clf__max_depth"": null}"
S1,1001,0.2,2,svm_linear_cal,0.9069139793221992,0.499981585122107,0.0174083545874448,"{""clf__C"": 0.1}"
S1,1001,0.2,2,xgb,0.9620770158290362,0.5223589762542155,0.016976344220979,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1001,0.2,3,extratrees,0.9390261422817414,0.5495330170387572,0.0179317155934343,"{""clf__max_depth"": null}"
S1,1001,0.2,3,lr_l2,0.8717001462325868,0.3610965873354921,0.0194725862130154,"{""clf__C"": 1.0}"
S1,1001,0.2,3,rf,0.933364119141076,0.5365119140844243,0.0176785178947562,"{""clf__max_depth"": 12}"
