split,seed,miss_rate,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std
S1,1002,0.6,extratrees,0.9021501312082583,0.017864604035603394,0.35453928191012735,0.05023134432074376,0.0211217561804448,0.000822726922018705
S1,1002,0.6,lr_l2,0.8716132449817051,0.006968836736103472,0.3232824388068921,0.07178784919155892,0.020636921510962362,0.0014371493306102592
S1,1002,0.6,rf,0.9020060592231381,0.02568914555137498,0.3790753363546357,0.08973371762397561,0.02037932012050246,0.0010901150963657821
S1,1002,0.6,svm_linear_cal,0.8665487812079137,0.010733350391822343,0.3217473849303043,0.06243092778648116,0.0207291831757354,0.0012436663695249643
S1,1002,0.6,xgb,0.9191332853580765,0.019341236909747424,0.3792486184723593,0.0855821491276408,0.01975334365118496,0.0015638136361334825
S1,1002,0.7,extratrees,0.8734611203801375,0.014903670823391616,0.2699670337216725,0.031655162529694365,0.02211377673571718,0.00023713790305891503
S1,1002,0.7,lr_l2,0.8568568037885858,0.007929537755839735,0.2697054094321307,0.056310395543156214,0.02135314183671336,0.0009165626203047833
S1,1002,0.7,rf,0.8847412105486303,0.012280679609783808,0.2967450770617319,0.04229325006814201,0.021649622658451002,0.000634264640467932
S1,1002,0.7,svm_linear_cal,0.8481367069320914,0.01466688271903065,0.2775688004798056,0.048093682398650445,0.02153566720004278,0.0009711583623527114
S1,1002,0.7,xgb,0.8928379754008233,0.004182412399635788,0.288581178900968,0.03576941453971504,0.021191792861349378,0.0006654386523760024
S1,1003,0.0,extratrees,0.9516153998178798,0.010839209926114242,0.5302714607982091,0.045531764557865874,0.01807916688252198,0.0006858004405341552
S1,1003,0.0,lr_l2,0.9200585115102262,0.0023240222408566166,0.4678531988768596,0.043319011166347045,0.017803121025616743,0.0010942127184456905
S1,1003,0.0,rf,0.9525622312074828,0.012765499524599162,0.5656465503511959,0.04956007919587777,0.01676419481370504,0.0007499619027554369
S1,1003,0.0,svm_linear_cal,0.9125817267041858,0.009259571406044484,0.46716019381351215,0.055758616053687454,0.01804811295866636,0.0013646824299582924
S1,1003,0.0,xgb,0.9571849044342258,0.008193069511608135,0.5708281837437431,0.046739116672086876,0.01594735967966586,0.0013589084683987606
S1,1003,0.05,extratrees,0.9488945957246854,0.010360503148361047,0.5227490785667342,0.04828431146895178,0.018261622876109142,0.0008920372841462425
S1,1003,0.05,lr_l2,0.9154851220659271,0.006577380410938791,0.44713334417002726,0.04546106170472162,0.01815870020742104,0.0009704009904611306
S1,1003,0.05,rf,0.9505327712924719,0.012088831859948265,0.5491896378679973,0.0443461430737653,0.01721381380693416,0.0006343878491636876
S1,1003,0.05,svm_linear_cal,0.9096797890902074,0.012465211664106935,0.4438527088462176,0.04665802286362891,0.018394162622389097,0.0010270306841738694
S1,1003,0.05,xgb,0.9571436770516328,0.009495500521771156,0.5570341405641116,0.04111929755516645,0.01638601999110978,0.0009966448459875696
S1,1003,0.1,extratrees,0.9442305504536748,0.012810013261798073,0.5186610206379354,0.05811027561480304,0.0182748693895871,0.0007717791359770221
S1,1003,0.1,lr_l2,0.9120323821940686,0.009031473312892608,0.46513717071875343,0.031148827733547896,0.01786802511020116,0.0006536198547289549
S1,1003,0.1,rf,0.9466369591807897,0.015782311853220026,0.5517781015738532,0.05696516508313528,0.017102762013651962,0.000738519559539762
